"","Job_Title","Company","Location","Links"
"81","Sr. Healthcare Data Analyst","Certified Technical Experts, Inc.","Atlanta, GA 30333","/rc/clk?jk=71608bdef334f602&fccid=be83185803f9f8e7&vjs=3"
"82","Senior Data Analyst","SageSure","Atlanta, GA","/rc/clk?jk=003013a3b37ae830&fccid=1a8fb53423be4440&vjs=3"
"83","Distinguished Data Scientist - Personalization","Verizon","Alpharetta, GA 30022","/rc/clk?jk=0fca2e528229e175&fccid=f7029f63fe5c906e&vjs=3"
"84","Senior Manager Data Science - Advanced Analytics","Norfolk Southern Corp","Atlanta, GA 30318","/rc/clk?jk=f537e13ab58d8217&fccid=2fc6cbacc7119b63&vjs=3"
"85","Analytics / Data Science Consultant","Kaiser Permanente","Atlanta, GA","/rc/clk?jk=8a25c03d8850520d&fccid=48ecd526e3aa3225&vjs=3"
"86","Senior Data Analyst (Information Technology)","Atlanta Public Schools","Atlanta, GA","/rc/clk?jk=b5e6d8397de13941&fccid=7cc9cddddb564bb9&vjs=3"
"87","Technology Analyst Program - Cyber, Infrastructure, Data Science, IT Project Management - Alpharetta / Marietta","Fiserv, Inc.","Alpharetta, GA","/rc/clk?jk=b3e84425279178ae&fccid=1ea0475711674f3b&vjs=3"
"88","Machine Learning Modeler, Growth","Square","Atlanta, GA","/rc/clk?jk=222835bc3688954a&fccid=09abad886b83c501&vjs=3"
"89","Sr. Pricing Analyst/Data Scientist","NAPA Auto Parts","Atlanta, GA 30339","/rc/clk?jk=0bd8284734ee1a90&fccid=3cb85b9ae156e8d0&vjs=3"
"90","Senior Data Analyst MDM","Serta Simmons Bedding, LLC","Doraville, GA","/company/Serta-Simmons-Bedding/jobs/Senior-Data-Analyst-Mdm-9ceee5314ae75c8f?fccid=9f47810177ecb763&vjs=3"
"91","Senior Director/Director, Data Science","Visa","Atlanta, GA","/rc/clk?jk=418eeb224d6fc468&fccid=a3f737e511d9fc8c&vjs=3"
"92","Senior Manager Data Science - Advanced Analytics","Norfolk Southern Corp","Atlanta, GA 30318","/rc/clk?jk=f537e13ab58d8217&fccid=2fc6cbacc7119b63&vjs=3"
"93","Senior Data Scientist","Aderant","Atlanta, GA 30350","/rc/clk?jk=e01e2788addf34c8&fccid=974ca008ac4d825a&vjs=3"
"94","Robotic Researcher/Scientist - Machine Learning / Deep Learning","Shenzhen Dorabot","Atlanta, GA","/rc/clk?jk=ef6ec51792196447&fccid=8816cc399be28a12&vjs=3"
"95","AI/ML Health Data Scientist – Senior Consultant","Guidehouse","Atlanta, GA 30309 (Midtown area)","/rc/clk?jk=0122954b1f0e8a92&fccid=b8fdf400786b78b1&vjs=3"
"96","Data Scientist(Machine Learning,Deep Learning,Python,R)- USC/ GC (TX,GA,NY)","Brilliant Infotech","Atlanta, GA","/company/Brilliant-Infotech-Inc./jobs/Data-Scientist-1abde5418821db73?fccid=f7e3a741e5126bf9&vjs=3"
"97","Data/ETL Test Lead","Capgemini","Atlanta, GA 30328","/rc/clk?jk=5f2b84e41fde0fd2&fccid=105ecfd0283f415f&vjs=3"
"98","Senior Data Analyst","Bitcoin Depot","Atlanta, GA","/rc/clk?jk=ba62e0cdfd25f24e&fccid=fea8b2b81be27766&vjs=3"
"99","Data Engineer","Deloitte","Atlanta, GA 30303 (Downtown area)","/rc/clk?jk=71317de7673d903c&fccid=9e215d88a6b33622&vjs=3"
"100","Senior Data Analyst (Information Technology)","Atlanta Public Schools","Atlanta, GA","/rc/clk?jk=b5e6d8397de13941&fccid=7cc9cddddb564bb9&vjs=3"
"101","Web and Data Science DevOps","ETI Software Solutions","Norcross, GA","/rc/clk?jk=c33e4ba12812f842&fccid=a2094224978c9e2e&vjs=3"
"102","Lead Data Analyst / Data Scientist / Analytics / BI Consultant","CEDENT","Atlanta, GA","/rc/clk?jk=62725598bdbf9652&fccid=2ecf4575019bf07a&vjs=3"
"103","Data Governance and Quality – Analytics & Cognitive, Consultant","Deloitte","Atlanta, GA 30303 (Downtown area)","/rc/clk?jk=b883a93f21ffbf01&fccid=9e215d88a6b33622&vjs=3"
"104","Chief Data Scientist","Seek Now","Atlanta, GA","/rc/clk?jk=e8425883dc431930&fccid=f3318349d9a0a91f&vjs=3"
"105","Data Scientist Lead (Contract to Hire)","CO-OP Financial Services","Alpharetta, GA","/rc/clk?jk=38f7fcc02a63ffd8&fccid=085fae7e48252893&vjs=3"
"106","Senior Data Engineer","Capgemini","Atlanta, GA 30328","/rc/clk?jk=62a308c002f638b6&fccid=105ecfd0283f415f&vjs=3"
"107","Senior Data Analyst","Agile","Atlanta, GA","/rc/clk?jk=37b987ee49e1ef72&fccid=72d69a7225c5a959&vjs=3"
"108","Lead Data Analyst / Data Scientist / Analytics / BI Consultant","CEDENT","Atlanta, GA","/rc/clk?jk=62725598bdbf9652&fccid=2ecf4575019bf07a&vjs=3"
"109","Machine Learning Modeler, Growth","Square","Atlanta, GA","/rc/clk?jk=222835bc3688954a&fccid=09abad886b83c501&vjs=3"
"110","Senior Data Analyst, BI (QuoteCenter)","Home Depot / THD","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=b5ed7be90f4ed615&fccid=82e58e9861d48566&vjs=3"
"111","Software Developer - Big Data Development","State Farm","Dunwoody, GA 30346","/rc/clk?jk=e0c1975b9bd3d9d0&fccid=d2310af9b3bb8585&vjs=3"
"112","Full Stack Developer, Decision Science","Delta","Atlanta, GA","/rc/clk?jk=84d867ac52747876&fccid=3f721eb1d31080a6&vjs=3"
"113","Senior Data Analyst, Transportation Analytics","Home Depot / THD","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=b15bb58cb7516b9e&fccid=82e58e9861d48566&vjs=3"
"114","Sr. Data Scientist - Utility Analytics","Koch Engineered Solutions","Atlanta, GA 30303 (Five Points area)","/rc/clk?jk=130fb69666ab38f5&fccid=735667c8ff2f1a48&vjs=3"
"115","Data Scientist Lead (Contract to Hire)","CO-OP Financial Services","Alpharetta, GA","/rc/clk?jk=38f7fcc02a63ffd8&fccid=085fae7e48252893&vjs=3"
"116","Senior Data Analyst - Capacity Management","Cisco Systems","Atlanta, GA","/rc/clk?jk=83f569ca8247cd1e&fccid=dfc44f3b8c44a6db&vjs=3"
"117","Mathematical Statistician (Direct Hire)","Centers for Disease Control and Prevention","Atlanta, GA 30329","/rc/clk?jk=6eeea12636bdb44c&fccid=3e901f592b439cea&vjs=3"
"118","Sr. Data Scientist","Georgia-Pacific","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=92f811d43f1b8bd5&fccid=f6b5ad8b9dfbe57b&vjs=3"
"119","Senior Associate, Data Scientist, Intelligent Forecasting","KPMG","Atlanta, GA 30308 (Downtown area)","/rc/clk?jk=726fccda963058f7&fccid=2dd390c3a48a7ed0&vjs=3"
"120","Senior Data Analyst","Sovos Compliance","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=64c6d898e5450e88&fccid=9bfefbc2c3bb984d&vjs=3"
"121","Data Scientist","CyberCoders","Atlanta, GA 30314 (West End area)","/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t7HtcOUSrkeIUBjx2O6_VA5GcgZXlSYyMkjTZYbFrNN7sDV0-EwJq5Ln98fhbl9vb2fnxqLzP4TZuZQYPW1C226SZWbtJ959Gc4NkXP_1YYISQaYk-OE79FBoscPITolLksCunDN4GLd_JPdIriI36Xf3U2wRTOGntksvF2Mi39DdV_6fG8t-mjVsm5ZT3d8QmSK9X4BVJ7us_68N9eAE_RBPFkdFPNbogxSxHOAlhyq2SBDFsCuczFPGhYdAzQfgwFmoYY7ug4-dq3jtYrZJqGWvPMHOsGBiF7xzDAYVSHW5ZHfL6UF61usD9wLEKVUS9RRyfdcw5Drs-AuQTzOe2Swt-S89goyV_mtrCJxe-Bxgs17uw15A7CkYF5gDstjVZ7gcf_2GJY9U8-5pqNndwpMSbmR2J1WY506Al_T-nsELmHqTOhT3XA_UUGY3176oIQTi4lTm0xZM4RkOGO8cKW4Zy3UpQ6p3JYIsRuaTMN4OCuV3BfWjoOakBRSbQbx2BR-t4fi2womKm28MPWNejMf0E4im5L2ggoS7JwXR1tUxWdquTMYLiv0cKLcWeEUgW8zhSZ6cYGhdflcRJ7TtBDwZYykmV0RgrJqGht7CI91J5fFGNxIdS1K16mv8_ZbbaXB6CpW4m20Qg--cY8OdUSSsIMkwebI9ezgnhyKP_Th8pSbCjd_bbidGI2WDaUymvbxMxHThqCEx3ECdEcSXF3_xWMN2qFodE2pKJYxuBMgUAGxtg2MioT8jMKiT6TO7_ThpzR8-Vu44HB12nUROhBZLaG3v7c-oCBarnZVyvQBxQCURI2OlAcn1Ca3hrPg19zfJpUw7MJ_M6xwit5h1ae0BmSoSsy_-t8tO0rd52N1GinkObeqE1_k8Quw4tO61h1oQbBdvh_KA==&p=14&fvj=0&vjs=3"
"122","Senior Manager, Data Science","Aaron's","Atlanta, GA","/rc/clk?jk=351bf3a865a795bb&fccid=9b16649713f63006&vjs=3"
"123","Director, Data Science","Bain & Company Inc","Atlanta, GA 30309 (Midtown area)","/rc/clk?jk=03893d630e2e1c72&fccid=48270b2eee62c2c6&vjs=3"
"124","Data Engineer","Verizon","Alpharetta, GA 30022","/rc/clk?jk=be20511805d91655&fccid=f7029f63fe5c906e&vjs=3"
"125","Portfolio Architect, Decision Science","Delta","Atlanta, GA","/rc/clk?jk=919600279135c238&fccid=3f721eb1d31080a6&vjs=3"
"126","Lead Data Scientist (remote)","Thrivent","Atlanta, GA","/rc/clk?jk=24a67a94094eadf7&fccid=c40fae22b6a11e7d&vjs=3"
"127","Senior Data Analyst","Vimo Inc","Atlanta, GA 30339","/rc/clk?jk=a63e54aced2c38aa&fccid=58bee800abeb897d&vjs=3"
"128","Senior Data Scientist","CJ Affiliate","Atlanta, GA 30328","/rc/clk?jk=6b264656e66e72c4&fccid=6d92f77049ca232e&vjs=3"
"129","AI/ML Health Data Scientist – Managing Consultant","Guidehouse","Atlanta, GA 30309 (Midtown area)","/rc/clk?jk=6d0f6102ba334532&fccid=b8fdf400786b78b1&vjs=3"
"130","Senior Data Scientist & Analytics Engineer Job","Acuity Brands","Conyers, GA 30012","/rc/clk?jk=0183b597f0c1757d&fccid=7fafd2106b16b1de&vjs=3"
"131","Automation Developer - Data and Machine Learning Products Team","Turner","Atlanta, GA","/rc/clk?jk=9b47159a09659976&fccid=92b6ad9b1bd886b6&vjs=3"
"132","Statistician IV","Goldbelt, Inc.","Atlanta, GA","/company/Goldbelt,-Inc./jobs/Statistician-7eed97fdef757ab0?fccid=f7f5ab591aa9143d&vjs=3"
"133","Software Engineer, Machine Learning, Research","Google","Atlanta, GA","/rc/clk?jk=211ef4316d61ff2b&fccid=a5b4499d9e91a5c6&vjs=3"
"134","Senior Associate, AI, NLP D&A Modeler","KPMG","Atlanta, GA 30308 (Downtown area)","/rc/clk?jk=be7dd5205a43e01e&fccid=2dd390c3a48a7ed0&vjs=3"
"135","Data Scientist","Georgia-Pacific","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=7fbcbc0674f54601&fccid=f6b5ad8b9dfbe57b&vjs=3"
"136","Data Scientist","CyberCoders","Atlanta, GA 30314 (West End area)","/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t7HtcOUSrkeIUBjx2O6_VA5GcgZXlSYyMkjTZYbFrNN7sDV0-EwJq5Ln98fhbl9vb2fnxqLzP4TZuZQYPW1C226SZWbtJ959Gc4NkXP_1YYIasuVPHjIgzOc6qMm_Pz7Cz8CsTLYGCLPHm9gN0lYuHFNCXUaTbEGAzhTQo1wobjpZWfEStBaP1lSXWiPW32gTCJmN_kKHOwsxuy9pUijbCCbp9HwFGCpxUexGSkxV-LahsoanxuTcbYh6z7wvIT9pH8xVCwRpuGwLOKQHdaYOccXbJiccPjtidHLx84FAHLeLiNd5SVIYNGfzKaBEUt0iXGbqMHMobXFB-zR750J24cH7WwqQESJbgmHQ9_hh6fFqKOJQWhXkv66wL5FXPxCzCKkncEgK2V9UVw2rpWhd8NZ_NQkA6HELAfb75DNbLnS22LXwh4S6RGDaMgaH4fm5nNil8N5FQAij6edSPrWPYyn406MdhgbNBEOyZ1ukeW4n-8jHUTo1_1Gwszyx4X3GQ4eTticwXjfgqetJhOiiE6QCwpNAZV-WfSU2EVxDMBfn0h7AaalKnFKgNv_i2tZcmzQCfy1YCTnZWcm_VJwzgHbrohHcSgBBOXA7vxmnUghZwuBd6xOwvydh5hy-UuC_1toGBPVLpyoNUCkZN76t0jcZNfFnzf2HuyDPyKJkhkJpyVac-qL9OMpOmAqzjPGAnhpOwYK_ji8eshVuYH0-nAkq-43l0j4vKqXsbxpb1Yn8kgZZ0DZRgA8Wprcvid-h0iVv_KYOQGae3FSdc35LNHjVdq1auWjga3vDTtcnNENYF3kB6kQdzoM8mz5zm-bQ2w1mP2VAwL39p_inAJFfkJWh5XfE4mQMhwGQpxTX_lZmXTeJ6wxuEZeOZxmZAnbjCo0Ve3rQSJ5A==&p=14&fvj=0&vjs=3"
"137","Data Scientist(Machine Learning,Deep Learning,Python,R)- USC/ GC (TX,GA,NY)","Brilliant Infotech","Atlanta, GA","/company/Brilliant-Infotech-Inc./jobs/Data-Scientist-1abde5418821db73?fccid=f7e3a741e5126bf9&vjs=3"
"138","Lead Developer (Data & Machine Learning Products Team)","Turner","Atlanta, GA","/rc/clk?jk=4bf1c440e60490cc&fccid=92b6ad9b1bd886b6&vjs=3"
"139","Data Architect","UCB S.A.","Atlanta, GA","/rc/clk?jk=1a4986fad6b11308&fccid=33684b64e937e3af&vjs=3"
"140","Conversational AI and VUI Designer, Consultant - Applied Artificial Intelligence","Deloitte","Atlanta, GA 30303 (Downtown area)","/rc/clk?jk=d4064d376622600f&fccid=9e215d88a6b33622&vjs=3"
"141","Lead Specialist, Federal Data Scientist","KPMG","Atlanta, GA 30308 (Downtown area)","/rc/clk?jk=5abd906d846842ab&fccid=2dd390c3a48a7ed0&vjs=3"
"142","Artificial Intelligence Manager/Group Manager, Advisory","Avanade","Atlanta, GA","/rc/clk?jk=48b87af4f412f7a2&fccid=5386281035076fdf&vjs=3"
"143","Sr IT Automation & Data Analyst","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=d9cc61fe67e833ee&fccid=50208b5bf45ee3b8&vjs=3"
"144","Data Scientist / Engineer - Machine Learning (Experienced) -- EOSL","Georgia Tech Research Institute","Atlanta, GA","/rc/clk?jk=6ef749112a495831&fccid=db25687464a9ecf6&vjs=3"
"145","Solution Architect - Data & Analytics","Deloitte","Atlanta, GA 30303 (Downtown area)","/rc/clk?jk=7eefd3333555ed24&fccid=9e215d88a6b33622&vjs=3"
"146","Robotic Researcher/Scientist - Machine Learning / Deep Learning","Shenzhen Dorabot","Atlanta, GA","/rc/clk?jk=ef6ec51792196447&fccid=8816cc399be28a12&vjs=3"
"147","ML Engineer","General Motors","Roswell, GA 30076","/rc/clk?jk=fa87184a83b84503&fccid=116680a29a847a70&vjs=3"
"148","Manager of Data Science","Calendly","Atlanta, GA","/rc/clk?jk=dfde29fa020ad451&fccid=88e1dcd0cd0bffc1&vjs=3"
"149","Machine Learning Engineer/Scientist - ATAS","Georgia Tech Research Institute","Atlanta, GA","/rc/clk?jk=f556ecf53a31c4e7&fccid=db25687464a9ecf6&vjs=3"
"150","Data Engineer","Verizon","Alpharetta, GA 30022","/rc/clk?jk=be20511805d91655&fccid=f7029f63fe5c906e&vjs=3"
"151","Senior Data Analyst","Feedzai","Atlanta, GA","/rc/clk?jk=abdd375fd38f4433&fccid=ad93a7e288dc7118&vjs=3"
